person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,credit_score,loan_percent_income,person_home_ownership,loan_intent,previous_loan_defaults_on_file,loan_status
59.0,4795287.0,18,4281061,12.31,823.0,0.8928,OTHER,PERSONAL,N,1
,2743157.0,28,1607259,22.46,654.0,0.5859,MORTGAGE,EDUCATION,N,1
35.0,2947909.0,1,143407,18.41,,0.0486,OTHER,HOMEIMPROVEMENT,N,0
63.0,3099311.0,35,1684842,17.98,504.0,0.5436,OTHER,DEBTCONSOLIDATION,N,0
28.0,367314.0,18,665860,16.51,730.0,1.8128,OTHER,EDUCATION,N,1
41.0,2785122.0,6,3379011,7.78,555.0,1.2132,OTHER,EDUCATION,N,1
59.0,3616032.0,25,3950243,22.84,547.0,1.0924,MORTGAGE,VENTURE,N,1
39.0,898692.0,14,378742,17.67,832.0,0.4214,OWN,DEBTCONSOLIDATION,N,1
43.0,2532962.0,37,408759,23.9,340.0,0.1614,OTHER,DEBTCONSOLIDATION,N,0
31.0,3616689.0,2,3142090,16.14,758.0,0.8688,MORTGAGE,PERSONAL,N,1
31.0,2226775.0,37,4142044,19.07,576.0,1.8601,MORTGAGE,PERSONAL,N,1
44.0,1764694.0,15,4911901,7.96,494.0,2.7834,MORTGAGE,MEDICAL,N,1
56.0,731904.0,1,1416891,17.74,370.0,1.9359,OWN,DEBTCONSOLIDATION,Y,0
60.0,4615669.0,30,4949380,20.0,569.0,1.0723,RENT,EDUCATION,Y,0
44.0,3438210.0,27,540901,20.23,634.0,0.1573,MORTGAGE,MEDICAL,Y,0
,4031143.0,6,1256511,20.09,884.0,0.3117,MORTGAGE,DEBTCONSOLIDATION,Y,0
42.0,3296779.0,29,3065196,10.85,607.0,0.9298,MORTGAGE,PERSONAL,N,1
22.0,2095537.0,6,872634,23.58,726.0,0.4164,OWN,PERSONAL,Y,0
44.0,2191381.0,35,2002335,23.92,498.0,0.9137,OTHER,DEBTCONSOLIDATION,N,0
64.0,228116.0,28,1580925,,375.0,6.9304,OWN,MEDICAL,N,0
50.0,534370.0,23,4289970,22.92,824.0,8.0281,MORTGAGE,PERSONAL,N,1
58.0,2172643.0,38,2653508,11.92,529.0,1.2213,RENT,PERSONAL,Y,0
22.0,,3,845489,18.72,384.0,0.2399,MORTGAGE,VENTURE,N,1
41.0,3602629.0,28,2783059,12.75,461.0,0.7725,OTHER,HOMEIMPROVEMENT,Y,0
53.0,669385.0,4,4813829,23.45,696.0,7.1914,RENT,DEBTCONSOLIDATION,N,1
32.0,3678880.0,28,3141780,8.73,670.0,0.854,RENT,VENTURE,N,1
42.0,1722138.0,29,277913,15.46,862.0,0.1614,OWN,HOMEIMPROVEMENT,N,1
64.0,2167337.0,28,3835971,14.28,514.0,1.7699,OWN,DEBTCONSOLIDATION,Y,0
,2473724.0,25,3259950,12.54,300.0,1.3178,OTHER,VENTURE,N,0
47.0,2378531.0,18,2341083,17.97,676.0,0.9843,OWN,VENTURE,N,1
62.0,,25,4370538,9.23,711.0,2.4557,OTHER,DEBTCONSOLIDATION,N,1
48.0,376256.0,36,2140586,19.18,499.0,5.6892,RENT,EDUCATION,N,0
36.0,570539.0,26,3888979,23.67,,6.8163,RENT,MEDICAL,N,0
35.0,3523307.0,29,453604,20.68,709.0,0.1287,RENT,DEBTCONSOLIDATION,N,1
64.0,700242.0,29,3468398,21.62,697.0,4.9531,OTHER,VENTURE,N,1
23.0,3647831.0,2,1213307,13.11,515.0,0.3326,OWN,EDUCATION,Y,0
57.0,2998439.0,6,1823743,12.52,648.0,0.6082,OWN,VENTURE,Y,0
27.0,4870553.0,8,1957188,15.79,879.0,0.4018,OWN,MEDICAL,N,1
41.0,2672919.0,12,33088,7.78,893.0,0.0124,MORTGAGE,EDUCATION,Y,0
29.0,2171835.0,14,1950929,23.07,340.0,0.8983,RENT,DEBTCONSOLIDATION,N,0
59.0,949687.0,4,856430,9.44,302.0,0.9018,RENT,HOMEIMPROVEMENT,Y,0
38.0,3999091.0,28,1885390,22.35,393.0,0.4715,MORTGAGE,MEDICAL,N,0
24.0,3681674.0,34,4070097,8.42,358.0,1.1055,RENT,PERSONAL,N,1
45.0,2570872.0,26,1198037,20.98,706.0,0.466,RENT,DEBTCONSOLIDATION,N,1
34.0,3077503.0,26,4221656,9.58,317.0,1.3718,MORTGAGE,DEBTCONSOLIDATION,N,1
29.0,500679.0,7,4331092,7.65,793.0,8.6504,RENT,DEBTCONSOLIDATION,N,1
